RespondentID,CollectorID,StartDate,EndDate,,Email Address,First Name,LastName,Custom Data,The following development tools are used in your organisation's projects.,,,,Which if any of the following build systems have you used for your work:,,,,,,,,"Which, if any, of the following source control systems have you used as part of your work.",,,,,,,Which if any of the following Integrated Development Environments have you used as part of your work.,,,,,,Which if any of the following programming languages have you used as part of your work,,,,,,,,,,The following processes are used in your organisation's projects.,,,,,The following practices and techniques are used in your organisation's projects.,,,,,,,,The following software architecture and design goals are important in your organisation's projects.,,,,,The following software development project management functions are carried out on your projects.,,
3662507440,62185394,12/22/2014 13:43:49,12/22/2014 13:49:04,,,,,,Agree,Strongly agree,Strongly agree,Agree,Ant,Maven,,,,,make,,Subversion (svn),CVS,Git,,,,,Eclipse,Visual Studio,,,,,Fortran,,Java,C#,,,C,C++,,,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree
3662374685,62185394,12/22/2014 12:26:12,12/22/2014 12:28:42,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,,,,Git,,,,Perforce,Eclipse,,,Web Storm,,,,,Java,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
3662307523,62185394,12/22/2014 11:13:42,12/22/2014 11:43:26,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,Gradle,,,,,,Subversion (svn),CVS,Git,,,,,Eclipse,,IntelliJ,,,,,,Java,,,,,,,Gosu,Strongly agree,Neither agree or disagree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree
3662221952,62185394,12/22/2014 10:36:49,12/22/2014 10:43:23,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,,Subversion (svn),CVS,,,,,,Eclipse,Visual Studio,IntelliJ,,,,,,Java,C#,,,,C++,,,Strongly agree,Neither agree or disagree,Agree,Agree,Strongly disagree,Agree,Neither agree or disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Strongly disagree
3662086185,62185394,12/22/2014 08:52:31,12/22/2014 08:57:00,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,TFS Build,Grunt,,,,,,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,JavaScript,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree
3662081582,62185394,12/22/2014 08:48:43,12/22/2014 08:52:49,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,TFS Build,Grunt,,Gulp,,,Git,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree
3662062069,62185394,12/22/2014 08:32:02,12/22/2014 08:34:47,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,TFS Build,Grunt,,,,,,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree
3662061728,62185394,12/22/2014 08:31:41,12/22/2014 08:34:28,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,,Subversion (svn),,,,,,,Eclipse,,,,,,,,Java,,,,,,,,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree or disagree
3662038127,62185394,12/22/2014 08:08:56,12/22/2014 08:11:12,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,TFS Build,Grunt,,,,,,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree or disagree
3662022962,62185394,12/22/2014 07:45:08,12/22/2014 07:54:48,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Ant,Maven,,,TFS Build,,,,Subversion (svn),,,Team Foundation Server (TFS),,,,Eclipse,Visual Studio,,,,,,,Java,C#,,,C,C++,,"Action Script 3, JavaScript",Neither agree or disagree,Agree,Strongly agree,Agree,Neither agree or disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Agree
3660148803,62217222,12/20/2014 08:59:16,12/20/2014 09:04:24,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,Sbt,Subversion (svn),CVS,Git,,,,Visual source safe,Eclipse,Visual Studio,IntelliJ,,,,,,Java,,,,C,C++,Scala,Erlang,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree
3660111960,62185516,12/20/2014 07:56:35,12/20/2014 08:00:53,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,,Gradle,,,,make,,Subversion (svn),CVS,Git,,Clearcase,Mercurial,,Eclipse,Visual Studio,,,,,,,,,Python,,C,C++,,Objective c,Agree,Neither agree or disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree or disagree
3660108636,62185516,12/20/2014 07:51:07,12/20/2014 07:54:50,,,,,,Disagree,Strongly agree,Strongly agree,Strongly agree,,,,,,,make,,Subversion (svn),CVS,,,Clearcase,,,Eclipse,Visual Studio,,,,Proprietary ides,Fortran,Perl,Java,C#,Python,,C,C++,,,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree
3656443075,62185394,12/18/2014 14:00:24,12/18/2014 14:09:48,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,,,,TFS Build,Grunt,,,,,Git,Team Foundation Server (TFS),,Mercurial,,,Visual Studio,,,,,,,,C#,,,,,,,Strongly disagree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree
3656081554,62217222,12/18/2014 10:23:46,12/18/2014 10:27:54,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,Gradle,,,,,,Subversion (svn),,Git,,,Mercurial,,Eclipse,,IntelliJ,,,Android Studio,,,Java,,,,,,,,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Agree,Strongly agree,Neither agree or disagree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Neither agree or disagree
3656080844,62185394,12/18/2014 10:17:35,12/18/2014 10:27:19,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,TFS Build,Grunt,,,Subversion (svn),,Git,Team Foundation Server (TFS),Clearcase,,,,Visual Studio,,,,,,,,C#,,,,,,javascript,Agree,Strongly agree,Strongly agree,Agree,Neither agree or disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
3655086420,62185394,12/17/2014 21:19:55,12/17/2014 21:25:32,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,Gradle,,,,,,Subversion (svn),CVS,Git,,Clearcase,Mercurial,Visual SourceSafe,Eclipse,,IntelliJ,,,,,,Java,,,,,,,"Javascript, Objective C, Lua, SQL, Groovy",Strongly agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
3654045139,62217222,12/17/2014 14:17:39,12/17/2014 14:20:39,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,make,,Subversion (svn),CVS,Git,,Clearcase,,,Eclipse,Visual Studio,,Web Storm,,XCode,Fortran,,Java,,Python,,C,C++,,Objective-C,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Agree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Disagree
3653819600,62185394,12/17/2014 12:35:28,12/17/2014 12:38:08,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,TFS Build,,,,,,,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,C++,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree
3653713297,62217222,12/17/2014 11:33:27,12/17/2014 11:35:39,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Ant,,,,TFS Build,,,,Subversion (svn),,,Team Foundation Server (TFS),Clearcase,Mercurial,,Eclipse,Visual Studio,,,,,,,Java,C#,,,,,,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree or disagree,Agree,Disagree
3653705031,62185394,12/17/2014 11:27:23,12/17/2014 11:30:26,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,,,,,TFS Build,,,,,,Git,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,,Agree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree
3653702487,62185394,12/17/2014 11:18:13,12/17/2014 11:28:51,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,,,,TFS Build,,,Jenkins,Subversion (svn),CVS,Git,Team Foundation Server (TFS),Clearcase,,Perforce,Eclipse,Visual Studio,,,,KDevelop,,,Java,C#,,,C,C++,,,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neither agree or disagree,Strongly agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly agree,Agree,Agree
3653539279,62185394,12/17/2014 09:35:01,12/17/2014 09:37:17,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,Gradle,,,,make,Gulp,Subversion (svn),CVS,Git,,,,,Eclipse,,IntelliJ,Web Storm,,,,Perl,Java,,,,,C++,,javascript,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3652076357,62185394,12/16/2014 18:46:43,12/16/2014 18:51:10,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,Gradle,Ivy,,Grunt,,"savant, sbt",Subversion (svn),CVS,Git,,Clearcase,,"VSS, Visual Age For Java (long long ago)",Eclipse,,IntelliJ,Web Storm,,,,,Java,,,,,,,"JavaScript, Groovy, Bash scripts",Strongly agree,Neither agree or disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree
